,0,1,2
0,024-10128_3G04,Overlap1,0
50,024-10128_3G04,Overlap2,7
73,024-10128_3G04,Overlap3,4
22,028-10134_4F05,Overlap1,0
30,028-10134_4F05,Overlap2,0
137,028-10134_4F05,Overlap3,16
133,034-100809_1D05,Overlap1,0
198,034-100809_1D05,Overlap2,7
201,034-100809_1D05,Overlap3,15
216,034-100809_2F01,Overlap1,17
163,034-100809_2F01,Overlap2,0
238,034-100809_2F01,Overlap3,0
247,051_10_2A05,Overlap1,19
258,051_10_2A05,Overlap2,1
307,051_10_2A05,Overlap3,9
308,150055-037_2G02,Overlap1,16
337,150055-037_2G02,Overlap2,5
342,150055-037_2G02,Overlap3,0
372,AG11-2B01,Overlap1,16
164,AG11-2B01,Overlap2,0
295,AG11-2B01,Overlap3,0
446,AG11-2C03,Overlap1,14
462,AG11-2C03,Overlap2,0
492,AG11-2C03,Overlap3,13
509,AG12-3D05,Overlap1,0
549,AG12-3D05,Overlap2,2
403,AG12-3D05,Overlap3,0
597,AG12-C05,Overlap1,17
325,AG12-C05,Overlap2,0
660,AG12-C05,Overlap3,7
663,AG12-C06,Overlap1,29
413,AG12-C06,Overlap2,0
694,AG12-C06,Overlap3,18
706,AG13-3G01,Overlap1,11
421,AG13-3G01,Overlap2,0
749,AG13-3G01,Overlap3,18
761,AG2-B02,Overlap1,10
775,AG2-B02,Overlap2,10
795,AG2-B02,Overlap3,16
809,C05,Overlap1,17
822,C05,Overlap2,0
852,C05,Overlap3,10
872,C1-2-C06,Overlap1,13
756,C1-2-C06,Overlap2,0
916,C1-2-C06,Overlap3,12
954,C6-2-D02,Overlap1,8
962,C6-2-D02,Overlap2,4
964,C6-2-D02,Overlap3,16
978,K77-2E07,Overlap1,0
863,K77-2E07,Overlap2,0
811,K77-2E07,Overlap3,0
1062,R95-1A03,Overlap1,19
1093,R95-1A03,Overlap2,5
1098,R95-1A03,Overlap3,15
1113,R95-1B07,Overlap1,0
744,R95-1B07,Overlap2,0
1173,R95-1B07,Overlap3,0
1203,R95-1G10,Overlap1,20
1213,R95-1G10,Overlap2,1
1239,R95-1G10,Overlap3,15
1254,R95-2B05,Overlap1,13
1271,R95-2B05,Overlap2,1
1300,R95-2B05,Overlap3,13
1317,R95-2E11,Overlap1,20
1327,R95-2E11,Overlap2,16
1015,R95-2E11,Overlap3,0
1371,R95-2G10,Overlap1,19
1382,R95-2G10,Overlap2,1
1388,R95-2G10,Overlap3,12
1406,R95-2H10,Overlap1,13
1423,R95-2H10,Overlap2,10
1443,R95-2H10,Overlap3,0
1107,SFV020_5C05,Overlap1,0
1482,SFV020_5C05,Overlap2,1
1511,SFV020_5C05,Overlap3,13
