,0,1,2
0,AG10-3C01,Overlap1,12
38,AG10-3C01,Overlap2,6
42,AG10-3C01,Overlap3,13
59,AG11-2F01,Overlap1,15
58,AG11-2F01,Overlap2,0
100,AG11-2F01,Overlap3,0
108,AG11-3C06,Overlap1,0
164,AG11-3C06,Overlap2,0
192,AG11-3C06,Overlap3,0
205,AG2-F02,Overlap1,13
222,AG2-F02,Overlap2,0
252,AG2-F02,Overlap3,16
331,C1-2-C06,Overlap1,12
359,C1-2-C06,Overlap2,2
377,C1-2-C06,Overlap3,12
266,C1-2A02,Overlap1,12
155,C1-2A02,Overlap2,0
314,C1-2A02,Overlap3,13
395,C1-3E03,Overlap1,11
424,C1-3E03,Overlap2,2
401,C1-3E03,Overlap3,0
363,C1-B01,Overlap1,0
522,C1-B01,Overlap2,6
484,C1-B01,Overlap3,0
556,C1-F02,Overlap1,12
531,C1-F02,Overlap2,0
469,C1-F02,Overlap3,0
634,C6-2-C01,Overlap1,11
481,C6-2-C01,Overlap2,0
683,C6-2-C01,Overlap3,0
713,C6-G03,Overlap1,0
760,C6-G03,Overlap2,6
764,C6-G03,Overlap3,0
794,FluA-152,Overlap1,0
443,FluA-152,Overlap2,0
854,FluA-152,Overlap3,13
871,K77-2F06,Overlap1,15
886,K77-2F06,Overlap2,0
827,K77-2F06,Overlap3,0
966,R95-1E01,Overlap1,9
967,R95-1E01,Overlap2,0
990,R95-1E01,Overlap3,0
1020,R95-1F02,Overlap1,12
928,R95-1F02,Overlap2,0
1070,R95-1F02,Overlap3,3
1077,R95-2F11,Overlap1,0
778,R95-2F11,Overlap2,0
1132,R95-2F11,Overlap3,12
1150,R95-2H06,Overlap1,12
1180,R95-2H06,Overlap2,3
1187,R95-2H06,Overlap3,0
1217,S5V2-52_Ig,Overlap1,12
1061,S5V2-52_Ig,Overlap2,0
1091,S5V2-52_Ig,Overlap3,0
1315,W85-1H07,Overlap1,9
1316,W85-1H07,Overlap2,0
1344,W85-1H07,Overlap3,0
853,W85-2B12,Overlap1,0
1404,W85-2B12,Overlap2,0
1452,W85-2B12,Overlap3,9
975,W85-2C10,Overlap1,0
1501,W85-2C10,Overlap2,6
1505,W85-2C10,Overlap3,0
1157,W85-2F03,Overlap1,0
843,W85-2F03,Overlap2,0
1392,W85-2F03,Overlap3,0
1422,W85-2G01,Overlap1,0
1675,W85-2G01,Overlap2,9
1676,W85-2G01,Overlap3,15
1192,W85-3B09,Overlap1,0
1721,W85-3B09,Overlap2,21
1517,W85-3B09,Overlap3,0
1547,W85-3F09,Overlap1,0
1810,W85-3F09,Overlap2,3
1817,W85-3F09,Overlap3,0
