,0,1,2
0,019_10_4A03,Overlap1,26
0,019_10_4A03,Overlap2,0
49,019_10_4A03,Overlap3,9
53,039_10_4G01,Overlap1,22
57,039_10_4G01,Overlap2,0
80,039_10_4G01,Overlap3,17
101,041-102909_2C03,Overlap1,18
113,041-102909_2C03,Overlap2,10
107,041-102909_2C03,Overlap3,13
130,041-102909_3G01,Overlap1,18
134,041-102909_3G01,Overlap2,0
133,041-102909_3G01,Overlap3,17
164,042-100809_2F04,Overlap1,20
216,042-100809_2F04,Overlap2,3
197,042-100809_2F04,Overlap3,9
198,042_10_2D01,Overlap1,13
266,042_10_2D01,Overlap2,3
227,042_10_2D01,Overlap3,15
288,051_09_5B06,Overlap1,18
274,051_09_5B06,Overlap2,0
271,051_09_5B06,Overlap3,14
346,150055-015_1G03,Overlap1,23
373,150055-015_1G03,Overlap2,3
299,150055-015_1G03,Overlap3,16
394,220-14-IgG_1A03,Overlap1,24
337,220-14-IgG_1A03,Overlap2,9
421,220-14-IgG_1A03,Overlap3,0
360,3C11,Overlap1,26
384,3C11,Overlap2,3
391,3C11,Overlap3,12
500,AG13-3F04,Overlap1,24
413,AG13-3F04,Overlap2,24
419,AG13-3F04,Overlap3,12
512,AG2-B01,Overlap1,14
546,AG2-B01,Overlap2,0
463,AG2-B01,Overlap3,19
476,AG8-2B02,Overlap1,22
543,AG8-2B02,Overlap2,0
499,AG8-2B02,Overlap3,17
636,AG9-4A02,Overlap1,19
643,AG9-4A02,Overlap2,0
617,AG9-4A02,Overlap3,17
551,C8-A06,Overlap1,20
554,C8-A06,Overlap2,0
584,C8-A06,Overlap3,19
595,D1_H1-17_H3-14,Overlap1,12
766,D1_H1-17_H3-14,Overlap2,3
631,D1_H1-17_H3-14,Overlap3,16
645,K77-1B01,Overlap1,20
655,K77-1B01,Overlap2,21
656,K77-1B01,Overlap3,15
673,K77-1C04,Overlap1,18
690,K77-1C04,Overlap2,5
695,K77-1C04,Overlap3,17
708,K77-2A03,Overlap1,20
722,K77-2A03,Overlap2,0
737,K77-2A03,Overlap3,15
917,K77-2G05,Overlap1,22
925,K77-2G05,Overlap2,0
954,K77-2G05,Overlap3,12
937,R95-1E04,Overlap1,20
815,R95-1E04,Overlap2,9
816,R95-1E04,Overlap3,12
834,R95-2A04,Overlap1,12
940,R95-2A04,Overlap2,0
1066,R95-2A04,Overlap3,19
871,R95-2A07,Overlap1,12
889,R95-2A07,Overlap2,0
918,R95-2A07,Overlap3,16
1138,R95-2F01,Overlap1,18
947,R95-2F01,Overlap2,5
952,R95-2F01,Overlap3,12
1167,W85-3B07,Overlap1,23
1172,W85-3B07,Overlap2,0
982,W85-3B07,Overlap3,15
